url,article_text
https://news.detik.com/berita/d-6709913/anak-korban-berang-prada-mw-kabur-usai-tabrakan-maut-mana-jiwa-kesatrianya,"Keluarga korban menyesalkan aksi tabrak lari oleh anggotaTNIPrada MW di Bekasi, Jawa Barat, yang menewaskan pasangan suami istri (pasutri) lansia. Anak korban, Rendra Falentino, mempertanyakan sikap Prada MW sebagai seorang prajuritTNI. ""Jelas kami sangat menyesali karena terduga pelaku atau tersangka ini kan prajurit TNI yang mestinya melindungi segenap bangsa,"" kata Rendra setelah dimintai keterangan sebagai saksi di Denpom Jaya II, Cijantung, Jakarta Timur, Senin (8/5/2023). ""Kenapa justru ketika terjadi kecelakaan bukannya turun dan menolong korban, malah melarikan diri. Itu yang kami sesali. Di mana jiwa kesatria seorang anggota TNI, kan begitu,"" sambungnya. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Rendra mengaku mendapat informasi dari penyidik bahwa Prada MW ketakutan setelah kecelakaan itu terjadi. Meski demikian, dia menilai seharusnya MW tak kabur. ""Kalau dari informasi penyidik sendiri alasannya ketakutan,"" ujarnya.  Rendra juga mengaku sempat diperlihatkan sosok Prada MW di rutan Denpom Jaya II. Rendra mengatakan Prada MW cuma diam. ""Ya kami sempat diperlihatkan sebentar sekitar beberapa detik. Bertemu langsung jadi pelaku di dalam sel dan kami di luar sel hanya melihat tidak sempat komunikasi apa pun,"" ujar Rendra. ""Tidak ada (permintaan maaf), hanya berdiam diri saja. Berdiam diri melihat kami,"" imbuhnya. Sebelumnya, sepasang suami istri menjadi korban tabrak lari di wilayah Pondok Melati, Kota Bekasi, Kamis (4/5). Keduanya disebut tewas di lokasi. Dari video yang beredar, kecelakaan itu melibatkan sepeda motor yang dikendarai korban dan satu unit mobil. Kedua kendaraan itu disebut awalnya melaju dari arah berlawanan dan bertabrakan di lokasi. Dalam video juga diperlihatkan, salah satu korban terpental hingga masuk ke pekarangan perkantoran. Sesaat setelah kejadian, mobil tersebut kabur dan meninggalkan korban tergeletak tak bernyawa. ""Benar, saat ini masalah itu sudah ditangani oleh Denpom Jaya. Tersangka pelaku tabrak lari berinisial Prada MW tersebut sudah ditahan untuk proses hukum lebih lanjut,"" kata Kadispenad Brigjen TNI Hamim Tohari saat dimintai konfirmasidetikcom, Sabtu (6/5)."
https://news.detik.com/berita/d-7370729/pengendara-mobil-tabrak-dan-lindas-nenek-di-palembang-diamankan-polisi,"Seorang pengendara mobil menabrak danmelindasseorang nenek, Jara (71), di Palembang, Sumatera Selatan (Sumsel). Saat ini, pelaku berinisial ZI (61), diamankan polisi dalam pemeriksaan petugas. Kasat Reskrim Polrestabes Palembang, AKBP Haris Dinzah, mengatakan pelaku diamankan di rumahnya Jalan Perintis Kemerdekaan, Kecamatan Ilir Timur II, Palembang, Sabtu (1/6) malam. ""Iya, pelaku dan mobil Toyota Avanza dengan nopol BG 1088 AY sudah kita amankan,"" ujar Haris dilansirdetikSumbagsel, Senin (3/6/2024). ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Kepada polisi, kata Haris, ZI mengakui perbuatan yang telah menabrak dan melindas korban. ""Saat ini masih dalam proses penyidikan, tetapi pelaku sudah mengakui perbuatannya,"" ujarnya.  Nenek Jara diketahui menjadi korban tabrakan hingga dilindas mobil di Benteng Kuto Besak (BKB) Palembang. Akibat kejadian itu, lengan kirinya mengalami patah tulang. Baca selengkapnyadi sini."
https://news.detik.com/berita/d-7125507/8-perjalanan-ka-dialihkan-imbas-tabrakan-kereta-turangga-ka-lokal-bandung,"PT Kereta Api Indonesia (KAI) Daop 5 Purwokerto mengalihkan perjalanan kereta api (KA) yang melintas di jalur Kroya-Bandung. Sebanyak delapan perjalanan kereta api dialihkan imbas kecelakaan tabrakankereta lokal vs Kereta Api Turanggadi Cicalengka, Kabupaten Bandung, pagi ini. Diketahui, kecelakaan KA Turangga (KA 65A) relasi Stasiun Surabaya Gubeng-Bandung dengan KA Commuter Line Bandung Raya (KA 350) relasi Stasiun Padalarang-Cicalengka itu terjadi di petak jalan antara Stasiun Haurpugur-Cicalengka, tepatnya di Km 181+700, Jumat (5/1) pukul 06.03 WIB. DilansirdetikJateng, Jumat (5/1/2024), Manajer Humas Daop 5 Purwokerto, Feni Novida Saragih, mengatakan untuk sementara lintas selatan Kroya-Bandung tidak dapat dilalui karena proses evakuasi kecelakaan dua kereta tersebut masih berlangsung. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Bagi kereta api yang akan melintas di wilayah Bandung-Kroya-Surabaya atau sebaliknya, KAI melakukan upaya rekayasa pola operasi berupa jalan memutar danoperstapend. Berikut ini daftar kereta api dari wilayah Daop 5 Purwokerto yang perjalanannya memutar dari Bandung-Cikampek-Kroya, hingga rilis ini diterbitkan.  1. KA Lodaya Pagi (KA 92) relasi dari Stasiun Bandung-Kroya-Solo Balapan menjadi Bandung-Cikampek-Cirebon-Prupuk-Kroya-Solo Balapan; 2. KA Argo wilis (KA 6) relasi dari Stasiun Bandung-Kroya-Surabaya Gubeng menjadi Bandung-Cikampek-Cirebon-Prupuk-Kroya-Surabaya Gubeng; 3. KA Baturraden Ekspress (KA 182) relasi dari Stasiun Bandung-Kroya-Purwokerto menjadi Bandung-Cikampek-Cirebon-Prupuk-Purwokerto; 4. KA Serayu (KA250) relasi dari Stasiun Purwokerto-Kroya-Kiaracondong-Pasar Senen menjadi Purwokerto-Prupuk-Cirebon Prujakan-Cikampek; 5. KA Serayu (KA 249) relasi dari Stasiun Pasar Senen-Cikampek-Kiaracondong-Kroya-Purwokerto menjadi Cikampek-Cirebon Prujakan-Prupuk-Purwokerto; 6. KA Pasundan (KA 240) relasi dari Stasiun Kiaracondong-Kroya-Surabaya Gubeng menjadi Kiaracondong-Cikampek-Cirebon Prujakan-Prupuk-Kroya-Surabaya Gubeng; 7. KA Kutojaya Selatan (KA 259) relasi dari Stasiun Kutoarjo-Kroya-Kiaracondong menjadi Kutoarjo-Kroya-Prupuk-Cirebon Prujakan-Cikampek-Kiaracondong; 8. KA Lodaya Pagi (KA 91) relasi dari Solo Balapan-Kroya-Bandung menjadi Solo Balapan-Kroya-Prupuk-Cirebon-Cikampek-Bandung Simak selengkapnya di sini."
https://news.detik.com/berita/d-6770135/ada-4-motor-yang-ditabrak-dan-terseret-truk-hingga-berapi-di-jambi,"Sopir truk berwarna kuning yang menabrak pemotor di Batanghari, Jambi, hingga motor terseret sudah ditangkap polisi. Polisi menyebutkan ada empat unit sepeda motor yang ditabrak dan terseret truk itu hingga mengeluarkan api karena bergesekan dengan aspal. DilansirdetikSumbagsel, Kapolres Batanghari AKBP Bambang Purwanto mengatakan, meski sudah mendata ada 4 unit motor yang ditabrak, pihaknya belum mendapat laporan adanya korban jiwa. Motor-motor itu tampak hangus dan nyaris habis pada salah satu foto dokumentasi yang didapatkandetikSumbagsel. ""Ada 4 motor (yang ditabrak truk). Sampai sekarang belum diketahui karena kita sudah cek ke puskesmas sekitar tidak ada korban tabrakan,"" kata Bambang kepada wartawan, Selasa (13/6/2023). ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Adapun identitas sopir truk tersebut ialah Yosa Warman (21), warga Kerinci, Jambi. Sopir telah diamankan di Satlantas Polres Batanghari untuk pemeriksaan lebih lanjut. ""Iya, setelah kejadian, sudah kami amankan beserta truk,"" ujarnya.  Bambang mengatakan pihaknya sudah melakukan tes urine kepada sopir truk tersebut. Hasilnya, tes urine sopir tersebut negatif narkoba. Simak selengkapnyadi sini."
https://news.detik.com/berita/d-7156516/dinding-warung-toko-velg-mobil-rusak-imbas-tabrakan-beruntun-di-puncak-bogor,"Kecelakaan beruntunmengakibatkan belasan orang terluka terjadi di Jl Raya Puncak, Bogor, Jawa Barat. Kecelakaan juga mengakibatkan dua bangunan rumah makan dan tokovelgmobil mengalami kerusakan. Pantauandetikcomdi Jl Raya Puncak, Tugu Selatan, Kecamatan Cisarua, Kabupaten Bogor, Selasa (23/1/2024), dinding rumah makan yang terhubung dengan tokovelgmobil jebol ditabrak mobil boks pengangkut air minum kemasan. Kaca jendela pada dinding rumah makan hancur dan tiang bangunan tampak melengkung dan rusak. Dinding bagian depan tokovelgjuga hancur akibat dihantam mobil boks.Velgdan ban mobil di toko itu tampak berserakan. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Sementara itu, sisa-sisa dus berisi minuman kemasan yang diangkut dalam mobil boks yang menabrak rumah makan berhamburan. Warga dan pemilik rumah makan merapikan barang-barangnya. Mobil boks yang terlibat kecelakaan menerobos dinding bangunan rumah makan dan bengkel. Posisi bagian depan mobil tersangkut di dalam bengkel, yang berdampingan dengan rumah makan.  Sebagian boks mobil yang mengalami kecelakaan terlihat terlepas dari badan mobil. Akibatnya, puluhan dus berisi air minum kemasan dari dalam boks berserakan di sekitar lokasi. Diberitakan sebelumnya, tabrakan beruntun terjadi di Jalan Raya Puncak, Tugu Selatan, Cisarua, Kabupaten Bogor. Kecelakaan tersebut melibatkan lima unit kendaraan. ""Ada lima unit kendaraan yang terlibat, bukan 10 kendaraan,"" kata Kapolres Bogor AKBP Rio Wahyu Anggoro saat dihubungidetikcom, Selasa (23/1/2024). Adapun kendaraan yang terlibat kecelakaan, berdasarkan data Satlantas Polres Bogor, adalah sebagai berikut: 1. Truk boks2. Angkot biru3. Suzuki XL74. Angkot kuning5. Mobil boks kecil Kecelakaan terjadi di Jalan Raya Puncak, Tugu Selatan, Cisarua, Kabupaten Bogor, sekitar pukul 11.00 WIB siang tadi. Polisi mencatat ada 14 orang terluka dalam kecelakaan tersebut. ""(Jumlah korban) 14 orang,"" kata AKBP Rio. Rio mengatakan para korban mengalami luka ringan hingga luka berat. ""Sampai saat ini luka berat dan ringan,"" imbuhnya."
https://news.detik.com/berita/d-7126110/tabrakan-2-kereta-terjadi-di-single-track-ini-penjelasan-kai-soal-jadwal,"Beredar jadwal keberangkatanKereta Api (KA) lokal Bandung Raya dan KA Turanggasebelum insiden kecelakaan. PT KAI Daop 2 Bandung memberikan penjelasan. Dikutip daridetikJabar, Jumat (5/1/2024), kecelakaan di petak Cicalengka-Haurpugur diduga karena pengaturan keberangkatan kereta tidak tepat. Merujuk pada jadwal yang beredar, KA Lokal Bandung Raya seharusnya menepi terlebih dulu di Stasiun Haurpugur lantaran jalur tersebut merupakansingle track. KA lokal Bandung Raya baru bisa melanjutkan perjalanan setelah KA Turangga melintasi Stasiun Haurpugur. Manajer Humas PT Kereta Api Indonesia (KAI) Daop 2 Bandung Ayep Hanapi menerangkan belum mengetahui soal ada tidaknya kesalahan komunikasi petugas operasional di jalursingle trackitu. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT ""Kita belum mengerti. Intinya, satu KA karenasingle track. Itu operasional, meski sudah ada waktu operasional itu kembali ke PPKA. Miskomunikasi atau bukan, itu masih dalam penyelidikan,"" ujar Ayep di lokasi kejadian. Ayep menerangkan kecelakaan terjadi disingle trackyang hanya boleh dilalui satu kereta. Dia mengatakan proses pengamanan dilakukan oleh pengatur perjalanan kereta api (PPKA) kanan kiri.  ""Kejadian terjadi disingle track, hanya boleh dilalui satu KA. Karenasingle track, proses untuk aman-amanan dilakukan oleh PPKA kanan kiri. PPKA atur kanan kiri. Dalam arti, kita kasih menunggu, karena inisingle trackdan pola pengaturan sudah ada,"" jelasnya. Baca selengkapnya disini. Lihat Video 'PT KAI soal Penyebab Tabrakan Kereta Api: Tunggu Investigasi KNKT':"
https://news.detik.com/berita/d-7477264/polisi-amankan-sopir-angkot-penabrak-pejalan-kaki-kios-di-depok,"Angkot 112 rute Depok-Kampung Rambutanmenabrak seorang pejalan kakihingga berakhir menyeruduk sebuah kios di Jalan Margonda Raya, Depok. Sopir angkot tersebut kini diamankan polisi. ""Pengendara angkot kami amankan ke kantor polisi,"" kata Kasat Lantas Polres Metro Depok Kompol Multazam Lisendra dalam keterangannya kepada wartawan, Rabu (7/8/2024). Tabrakan terjadi sekitar pukul 07.30 WIB. Kecelakaan ini mengakibatkan seorang pejalan kaki harusdilarikan ke rumah sakit. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT ""(Kondisi korban) meninggal atau tidaknya kami konfirmasi ke RS, yang pasti kami sudah mengamankan TKP,"" katanya. Ditemui di lokasi, Kanit Laka Satlantas Polres Metro Depok AKP Burhan mengatakan kecelakaan terjadi sekitar pukul 07.30 WIB di Jalan Margonda Raya, Beji, Depok.  ""Untuk korban sudah kami evakuasi ke rumah sakit, untuk kendaraan angkot sudah kami amankan di kantor laka. Begitu juga dengan pengemudi angkot sudah kami amankan di kantor laka Satlantas Polres Metro Depok,"" imbuhnya. Burhan mengatakan kecelakaan terjadi saat angkotmelintas dari arah utara ke selatan. Setiba di lokasi, angkot menabrak pejalan kaki hingga menyeruduk sebuah kios optik. ""Angkot melaju dari arah utara menuju ke selatan di Jalan Margonda, angkot dalam keadaan kosong,"" katanya. Burhan menambahkan, saat ini polisi masih menyelidiki kasus kecelakaan ini. Polisi memeriksa sejumlah saksi di lokasi kejadian.    Saksikan Live DetikPagi:"
https://news.detik.com/berita/d-6925383/kodam-jaya-tanggung-perawatan-3-korban-buntut-lettu-g-lawan-arah-di-mbz,"Kodam Jaya menanggung perawatan tiga orang yang terluka akibat kecelakaan beruntun imbas Lettu GDW (29) berkendaramelawanarah di Tol MBZ. Biaya kerusakan juga bakal ditanggungKodamJaya. ""Biaya korban termasuk 7 mobil itu semua ditanggung,"" kata Kapendam Jaya Letkol Inf Herbert Andi Amino Sinaga dalam jumpa pers di RS Ridwan Meuraksa TMII-Kesdam Jaya, Senin (11/9/2023). Herbeth mengatakan terdapat 7 mobil yang mengalami rusak pada bagian bodi mobil. Dari 7 mobil itu, sebanyak 3 orang yang mengalami luka-luka. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT ""Informasi 3 orang. Satu masih dirawat, 2 orang sudah kembali,"" imbuhnya. Salah seorang korban kecelakaan, Dina Malisa, harus menjalani operasi di salah satu rumah sakit di Jakarta Selatan. Herbeth menyebut pasca-operasi, Dina Malisa sudah dalam keadaan stabil.  ""Iya, ibu Dina Malisa sudah dalam pantauan kita juga,"" kata Herbeth. ""Stabil. Sudah pasca-operasi di rumah sakit,"" sambungnya. Hingga kini Lettu G belum ditetapkan menjadi tersangka.PomdamJaya masih menunggu kondisi Lettu G membaik agar dapat memberi keterangan. ""Kalau statusnya belum ditetapkan ya. Kita masih periksa sebagai saksi,"" ujar Herbeth. Lettu G berkendara melawan arah hingga memicu kecelakaan beruntun di Tol MBZ Km 25 arah Cikampek. Mulanya, Lettu GDW mengendarai mobil di bahu jalan melaju dari arah Bekasi menuju Cikampek, Sabtu (9/9). Lettu G tiba-tiba berputar balik dan melaju lawan arah di Tol MBZ. Akibatnya, terjadi kecelakaan beruntun melibatkan tujuh mobil lain. Setelah tabrakan itu, Lettu G balik arah lagi menuju Cikampek hingga diamankan jajaran PJR Cikampek. Kemudian, ia diserahkan ke Satlantas Polres Kabupaten Bekasi. Selanjutnya, pelaku dijemput oleh pihak Denpom 2 Jaya."
https://news.detik.com/berita/d-6938445/terkuak-lettu-g-pemicu-kecelakaan-di-tol-mbz-punya-gangguan-saraf-otak,"Fakta baru tersingkap mengenai kondisi oknum anggota TNI berinisialLettuGDW yang berkendara lawan arah hingga memicu kecelakaan beruntun diTolMBZ. Lettu G disebut mempunyai gangguan saraf otak. Hal itu disampaikan Danpomdam Jaya Kolonel Cpm Irsyad Hamdie Bey Anwar kepada wartawan di Polda Metro Jaya, Senin (18/9/2023). Namun Irsyad tidak mengetahui pasti mengenai penyakit yang dideritaLettuG. ""Saya nggak tahu nama penyakitnya apa. Yang pasti ada gangguan di saraf otak lah gitu,"" kata Irsyad. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Irsyad mengatakan Lettu G juga mempunyai riwayat kecelakaan. Dia menduga penyakit pada saraf itu terkait dari kecelakaan sebelumnya. ""Sehingga yang bersangkutan boleh dikatakan bisa melakukan tindakan yang di luar dari kesadaran dia. Tapi yang bersangkutan, ya emang pernah punya riwayat kecelakaan juga. Jadi mungkin itu berkembang saraf jadi sakit, kayak sekarang,"" ujar Irsyad. Irsyad menambahkan, sakit saraf tersebut dialami Lettu GDW setelah dia menjadi perwira TNI. ""Kalau informasi dari dokter nanti silakan di-crosscheck sama dokter. Itu riwayat penyakitnya itu setelah jadi perwira itu,"" imbuhnya. Selain itu, Irsyad juga berbicara terkait proses hukum Lettu G. Dia mengatakan proses hukum Lettu G akan disesuaikan dengan rekomendasi dokter RSPAD. ""Dia masih diobservasi. Kesimpulan dokter sementara dia punya penyakit riwayat penyakit. Jadi itu yang masih diobatin. Jadi kalau misalnya nanti keluar keterangan dari RSPAD yang bersangkutan sakit, ya mungkin proses hukumnya, bukan kita abaikan, tapi kita sesuaikan dengan rekomendasi dokter, "" kata Irsyad. Dia menjelaskan langkah Puspom TNI akan dilakukan berdasarkan kesimpulan dokter. Jika dinyatakan sehat, proses hukum Lettu GDW terus berlanjut. ""Kalau yang bersangkutan bisa menjalani tugas seperti biasa, ya kita proses lah dengan Undang-Undang Lalu Lintas,"" ujarnya. ""Kalau dokter menyatakan yang bersangkutan bisa bertugas dengan baik nah mungkin akan kita sesuaikan. Kita laksanakan tindakan hukumnya. Tapi kalau tidak, pasti dia akan nanti mungkin dimutasi kemudian dilakukan pengobatan,"" imbuhnya. Simak selengkapnya di halaman berikutnya  Saksikan Video 'Kejagung Ungkap Peran 3 Tersangka Kasus Korupsi Proyek Tol MBZ':"
https://news.detik.com/berita/d-6971089/ferrari-tabrak-5-kendaraan-di-bundaran-senayan-2-orang-terluka,"Kecelakaan beruntunyang melibatkan 6 kendaraan terjadi di Jalan Jenderal Sudirman dekat Bundaran Senayan, Jakarta Pusat, tadi malam. Satu mobil Ferrari ringsek akibat kecelakaan tersebut. Dalam video yang beredar seperti dilihatdetikcom, Minggu (8/10/2023), tampak kendaraan terlibat kecelakaan terparkir di bahu jalan. Tampak juga mobil Ferrari berwarna merah ringsek di bagian depan. Dalam video tersebut, dinarasikan insiden tabrakan tersebut juga memicu perselisihan. Namun belum diketahui penyebab perselisihan terjadi. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Kasubdit Gakkum Ditlantas Polda Metro Jaya AKBP Jhonny Eka mengatakan peristiwa tersebut terjadi pada Minggu (8/10) pukul 03.30 WIB dini hari tadi. Kecelakaan melibatkan tiga kendaraan roda empat, termasuk Ferrari, dan taksi serta 3 kendaraan roda dua. ""Kendaraan sedan Ferrari, kendaraan Toyota Avanza taksi, kendaraan Honda Brio, kendaraan sepeda motor Honda Beat, kendaraan Benelli Sport dan kendaraan sepeda motor Honda Verza,"" kata Jhonny saat dihubungi, Minggu (8/10/2023).  Berdasarkan keterangan saksi, kendaraan Ferrari tersebut melaju dari arah Bundaran HI di Jalan Jenderal Sudirman. Sesampai di lampu merah Bundaran Senayan, Ferrari tersebut menabrak kendaraan lain di depannya. ""Diduga kurang hati-hati serta konsentrasi akhirnya menabrak 5 kendaraan yang berada di depannya yang sedang berhenti karena lampu TL menyala merah,"" ujarnya. Tak ada korban jiwa dalam peristiwa ini. Namun diketahui dua orang mengalami luka-luka dan dilarikan ke RS Muhammadiyah, Jakarta Selatan. ""Pengemudi kendaraan sepeda motor Benelli atas nama RJC mengalami luka di kaki terkilir, selangkangan lecet dan penumpang kendaraan sepeda motor Honda Verza atas nama N mengalami luka tangan kanan lebam, paha kanan memar,"" pungkasnya."
